Resort;Latitude;Longitude
Dryden Ski Club;49.815250;-92.755684
Duck Mountain;51.560886;-101.609680
Earl Bales Ski & Snowboard Centre;43.752523;-79.429449
Edelweiss Valley Resort;45.645443;-75.935812
Edmonton Ski Club;53.534611;-113.474963
Fairmont;50.338593;-115.826248
Falcon Ridge;49.706066;-95.186160
Fernie;49.526100;-115.056381
Fortress Mountain;50.947089;-115.169885
Gander Winter Park;48.949056;-54.617712
Georgian Peaks;44.524385;-80.378636
Glen Eden;43.504861;-79.943819
Gray Rocks;46.163247;-74.586954
Grouse Mountain;49.371130;-123.098800
Gwynne Valley Ski Area;52.986594;-113.218347
Harper Mountain;50.730370;-120.161140
Heights of Horseshoe;44.550151;-79.678050
Hemlock Valley;49.380033;-121.935738
Heyden Ski Hill;46.642064;-84.308953
Hidden Valley;49.625021;-110.341674
Hidden Valley Highlands;45.357363;-79.131528
Hockley Valley;43.978672;-80.050592
Holiday Mountain;49.237174;-98.694617
Horseshoe;44.550109;-79.678113
Kamiskotia;48.534425;-81.541547
Kanasuta;48.174872;-79.402800
Kicking Horse;51.297145;-117.049852
Kimberley;49.670030;-115.978100
Kinosoo Ridge;54.440506;-110.017452
La R?serve;46.283851;-74.186211
La Tuque. Centre Municipal du Ski;47.434465;-72.775949
Lake Louise;51.420277;-116.184722
Lakeridge Resort;44.026315;-79.063937
Laurentian Ski Hill;46.338187;-79.433798
Le Massif;47.279341;-70.611364
Le Relais;46.942073;-71.299368
Le Valinou?t;48.571310;-71.011565
Little Smoky Ski Area;54.737407;-117.171421
Loch Lomond;48.291913;-89.345761
Manning Park;49.064019;-120.785115
Mansfield Ski;44.200588;-80.054237
Marble Mountain;48.946800;-57.832563
Marmot Basin-Jasper;52.799700;-118.082000
Martock;44.934431;-64.170292
Massif du Sud;46.684921;-70.375731
Medicine Lodge Ski Area;52.465355;-114.057296
Mike Wiegele Heli-Ski Resort;52.107120;-119.310340
Misery Mountain Ski Area;56.253271;-117.262423
Mission Ridge;50.755266;-103.781661
Mont Avila;45.883331;-74.133330
Mont Blanc;46.107020;-74.487385
Mont B?lu;48.320362;-70.837183
Mont Calm;46.040961;-73.830598
Mont Carmel;46.495314;-72.631706
Mont Cascades;45.588022;-75.847365
Mont Castor;48.767514;-67.544948
Mont Chalco;49.963002;-74.224982
Mont Comi;48.467458;-68.194434
Mont Farlagne;47.413630;-68.378567
Mont Fortin;48.433109;-71.226251
Mont Gabriel;45.920977;-74.146209
Mont Garceau;46.338277;-74.214191
Mont Gleason;45.927830;-71.951824
Mont Glen;45.205604;-72.452304
Mont Grand-Fonds;47.772147;-70.106380
Mont Habitant;45.879406;-74.172610
Mont Lac Vert;46.213586;-74.584841
Mont Olympia;45.914616;-74.117374
Mont Orford;45.317331;-72.222233
Mont Orignal;46.410631;-70.585006
Mont Rigaud;45.303871;-71.932297
Mont Saint-Bruno;45.557149;-73.333928
Mont Saint-Sauveur;45.884870;-74.144669
Mont Sainte-Anne;47.074389;-70.905762
Mont Shefford;45.393936;-72.719127
Mont Ste-Marie;47.073542;-70.905418
Mont Sutton;45.104389;-72.561963
Mont Ti-Basse;49.210630;-68.163604
Mont Tremblant;46.210114;-74.586644
