Resort;Country;Latitude;Longitude
Berkovitsa;Bulgaria;43.237391;23.124251
Borovets;Bulgaria;42.287850;23.621091
Chepelare;Bulgaria;41.718019;24.679754
Dobrinishte;Bulgaria;41.759013;23.546586
Govedartsi;Bulgaria;42.259808;23.480680
Kom;Bulgaria;43.174452;23.052144
Kulinoto;Bulgaria;41.877800;23.317800
Malyovitsa;Bulgaria;42.165670;23.367503
Momchilovtsi;Bulgaria;41.666180;24.783140
Pamporovo;Bulgaria;41.600039;24.491959
Panichishte;Bulgaria;42.282954;23.316048
Parshevitsa;Bulgaria;43.142815;23.476102
Semkovo;Bulgaria;42.071279;23.502465
Smolyan;Bulgaria;41.574813;24.710876
Tsigov Chark;Bulgaria;41.955151;24.150829
Uzana;Bulgaria;42.756592;25.236282
Vitosha;Bulgaria;42.607482;23.245844
Alpine;Canada;44.522656;-80.346262
Apex;Canada;49.759031;-117.181828
Asessippi;Canada;50.951073;-101.340293
Banff-Norquay Mount;Canada;51.202000;-115.596000
Batawa Ski Hill;Canada;44.178436;-77.602987
Beaver Valley;Canada;44.357600;-80.544600
Belle Neige;Canada;46.001294;-74.213652
Big White;Canada;49.717689;-118.935428
Blue Mountain;Canada;44.502042;-80.311475
Blue Mountain Ski Area;Canada;44.501158;-80.316925
Boler Mountain;Canada;42.942391;-81.338293
Brimacombe;Canada;44.022281;-78.577370
Bromont;Canada;45.301335;-72.635937
Calabogie Peaks Resort;Canada;45.272410;-76.784391
Caledon;Canada;43.801764;-80.013424
Camp Fortune;Canada;45.509000;-75.851000
Canada Olympic Park Alberta;Canada;51.079600;-114.216000
Canyon Ski Area;Canada;52.257827;-113.946708
Castle Mountain;Canada;49.350418;-114.452835
Cedar Highlands;Canada;43.991500;-80.004800
Centennial Park Ski & Snowboard Center;Canada;43.657101;-79.586182
Centre de Plein Air Cap Chat;Canada;49.047062;-66.693489
Chicopee;Canada;43.433180;-80.420684
Collingwood;Canada;44.507588;-80.307839
Crabbe Mountain;Canada;46.119167;-67.101111
Craigleith;Canada;44.515979;-80.331613
Crystal Mountain;Canada;49.844850;-119.684480
Cypress Mountain;Canada;49.395213;-123.203376
Dagmar Resort;Canada;44.009980;-79.047665
Devils Elbow;Canada;44.220600;-78.574047
Devil?s Glen;Canada;44.353560;-80.204315
Do-Mi-Ski;Canada;48.892347;-72.237657
Drumheller Valley;Canada;51.459223;-112.748643
Dryden Ski Club;Canada;49.815250;-92.755684
Duck Mountain;Canada;51.560886;-101.609680
Earl Bales Ski & Snowboard Centre;Canada;43.752523;-79.429449
Edelweiss Valley Resort;Canada;45.645443;-75.935812
Edmonton Ski Club;Canada;53.534611;-113.474963
Fairmont;Canada;50.338593;-115.826248
Falcon Ridge;Canada;49.706066;-95.186160
Fernie;Canada;49.526100;-115.056381
Fortress Mountain;Canada;50.947089;-115.169885
Gander Winter Park;Canada;48.949056;-54.617712
